ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
88,QT_MAT_MED_IFA_CIENC_OTME,int64,178766,178766,100.0
89,QT_MAT_MED_IFA_CIENC_OE,int64,178766,178766,100.0
90,QT_MAT_MED_IFA_HUMA,int64,178766,178766,100.0
91,QT_MAT_MED_IFA_HUMA_MT,int64,178766,178766,100.0
92,QT_MAT_MED_IFA_HUMA_OTME,int64,178766,178766,100.0
93,QT_MAT_MED_IFA_HUMA_OE,int64,178766,178766,100.0
94,QT_MAT_PROF,int64,178766,178766,100.0
95,QT_MAT_PROF_TEC,int64,178766,178766,100.0
96,QT_MAT_PROF_TEC_CONC,int64,178766,178766,100.0
97,QT_MAT_PROF_TEC_SUBS,int64,178766,178766,100.0
98,QT_MAT_PROF_TEC_IFTP_CT,int64,178766,178766,100.0
99,QT_MAT_PROF_NAO_TEC,int64,178766,178766,100.0
100,QT_MAT_PROF_IFTP_QP,int64,178766,178766,100.0
101,QT_MAT_PROF_FIC_CONC,int64,178766,178766,100.0
102,QT_MAT_EJA,int64,178766,178766,100.0
103,QT_MAT_EJA_FUND,int64,178766,178766,100.0
104,QT_MAT_EJA_FUND_NPROF,int64,178766,178766,100.0
105,QT_MAT_EJA_FUND_AI,int64,178766,178766,100.0
106,QT_MAT_EJA_FUND_AF,int64,178766,178766,100.0
107,QT_MAT_EJA_FUND_FIC,int64,178766,178766,100.0
108,QT_MAT_EJA_MED,int64,178766,178766,100.0
109,QT_MAT_EJA_MED_NPROF,int64,178766,178766,100.0
110,QT_MAT_EJA_MED_FIC,int64,178766,178766,100.0
111,QT_MAT_EJA_MED_TEC,int64,178766,178766,100.0
112,QT_MAT_ESP,int64,178766,178766,100.0
113,QT_MAT_ESP_INF,int64,178766,178766,100.0
114,QT_MAT_ESP_INF_CRE,int64,178766,178766,100.0
115,QT_MAT_ESP_INF_PRE,int64,178766,178766,100.0
116,QT_MAT_ESP_FUND,int64,178766,178766,100.0
117,QT_MAT_ESP_FUND_AI,int64,178766,178766,100.0
118,QT_MAT_ESP_FUND_AF,int64,178766,178766,100.0
119,QT_MAT_ESP_MED,int64,178766,178766,100.0
120,QT_MAT_ESP_PROF,int64,178766,178766,100.0
121,QT_MAT_ESP_PROF_TEC,int64,178766,178766,100.0
122,QT_MAT_ESP_EJA,int64,178766,178766,100.0
123,QT_MAT_ESP_EJA_FUND,int64,178766,178766,100.0
124,QT_MAT_ESP_EJA_MED,int64,178766,178766,100.0
125,QT_MAT_ESP_CC,int64,178766,178766,100.0
126,QT_MAT_ESP_CC_INF,int64,178766,178766,100.0
127,QT_MAT_ESP_CC_INF_CRE,int64,178766,178766,100.0
128,QT_MAT_ESP_CC_INF_PRE,int64,178766,178766,100.0
129,QT_MAT_ESP_CC_FUND,int64,178766,178766,100.0
130,QT_MAT_ESP_CC_FUND_AI,int64,178766,178766,100.0
131,QT_MAT_ESP_CC_FUND_AF,int64,178766,178766,100.0
132,QT_MAT_ESP_CC_MED,int64,178766,178766,100.0
133,QT_MAT_ESP_CC_PROF,int64,178766,178766,100.0
134,QT_MAT_ESP_CC_PROF_TEC,int64,178766,178766,100.0
135,QT_MAT_ESP_CC_EJA,int64,178766,178766,100.0
136,QT_MAT_ESP_CC_EJA_FUND,int64,178766,178766,100.0
137,QT_MAT_ESP_CC_EJA_MED,int64,178766,178766,100.0
138,QT_MAT_ESP_CE,int64,178766,178766,100.0
139,QT_MAT_ESP_CE_INF,int64,178766,178766,100.0
140,QT_MAT_ESP_CE_INF_CRE,int64,178766,178766,100.0
141,QT_MAT_ESP_CE_INF_PRE,int64,178766,178766,100.0
142,QT_MAT_ESP_CE_FUND,int64,178766,178766,100.0
143,QT_MAT_ESP_CE_FUND_AI,int64,178766,178766,100.0
144,QT_MAT_ESP_CE_FUND_AF,int64,178766,178766,100.0
145,QT_MAT_ESP_CE_MED,int64,178766,178766,100.0
146,QT_MAT_ESP_CE_PROF,int64,178766,178766,100.0
147,QT_MAT_ESP_CE_PROF_TEC,int64,178766,178766,100.0
148,QT_MAT_ESP_CE_EJA,int64,178766,178766,100.0
149,QT_MAT_ESP_CE_EJA_FUND,int64,178766,178766,100.0
150,QT_MAT_ESP_CE_EJA_MED,int64,178766,178766,100.0
151,QT_MAT_BAS_FEM,int64,178766,178766,100.0
152,QT_MAT_BAS_MASC,int64,178766,178766,100.0
