ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
187,TP_REDE_LOCAL,float64,214192,180540,84.29
188,IN_BANDA_LARGA,float64,214192,170762,79.72
189,QT_PROF_ADMINISTRATIVOS,float64,214192,180540,84.29
190,QT_PROF_SERVICOS_GERAIS,float64,214192,180540,84.29
191,QT_PROF_BIBLIOTECARIO,float64,214192,180540,84.29
192,QT_PROF_SAUDE,float64,214192,180540,84.29
193,QT_PROF_COORDENADOR,float64,214192,180540,84.29
194,QT_PROF_FONAUDIOLOGO,float64,214192,180540,84.29
195,QT_PROF_NUTRICIONISTA,float64,214192,180540,84.29
196,QT_PROF_PSICOLOGO,float64,214192,180540,84.29
197,QT_PROF_ALIMENTACAO,float64,214192,180540,84.29
198,QT_PROF_PEDAGOGIA,float64,214192,180540,84.29
199,QT_PROF_SECRETARIO,float64,214192,180540,84.29
200,QT_PROF_SEGURANCA,float64,214192,180540,84.29
201,QT_PROF_MONITORES,float64,214192,180540,84.29
202,QT_PROF_GESTAO,float64,214192,180540,84.29
203,QT_PROF_ASSIST_SOCIAL,float64,214192,180540,84.29
204,QT_PROF_TRAD_LIBRAS,float64,214192,180540,84.29
205,QT_PROF_AGRICOLA,float64,214192,180540,84.29
206,QT_PROF_REVISOR_BRAILLE,float64,214192,180540,84.29
207,IN_ALIMENTACAO,float64,214192,180540,84.29
208,IN_MATERIAL_PED_MULTIMIDIA,float64,214192,180540,84.29
209,IN_MATERIAL_PED_INFANTIL,float64,214192,180540,84.29
210,IN_MATERIAL_PED_CIENTIFICO,float64,214192,180540,84.29
211,IN_MATERIAL_PED_DIFUSAO,float64,214192,180540,84.29
212,IN_MATERIAL_PED_MUSICAL,float64,214192,180540,84.29
213,IN_MATERIAL_PED_JOGOS,float64,214192,180540,84.29
214,IN_MATERIAL_PED_ARTISTICAS,float64,214192,180540,84.29
215,IN_MATERIAL_PED_PROFISSIONAL,float64,214192,180540,84.29
216,IN_MATERIAL_PED_DESPORTIVA,float64,214192,180540,84.29
217,IN_MATERIAL_PED_INDIGENA,float64,214192,180540,84.29
218,IN_MATERIAL_PED_ETNICO,float64,214192,180540,84.29
219,IN_MATERIAL_PED_CAMPO,float64,214192,180540,84.29
220,IN_MATERIAL_PED_BIL_SURDOS,float64,214192,180540,84.29
221,IN_MATERIAL_PED_AGRICOLA,float64,214192,180540,84.29
222,IN_MATERIAL_PED_QUILOMBOLA,float64,214192,180540,84.29
223,IN_MATERIAL_PED_EDU_ESP,float64,214192,180540,84.29
224,IN_MATERIAL_PED_NENHUM,float64,214192,180540,84.29
225,IN_EDUCACAO_INDIGENA,float64,214192,180540,84.29
226,TP_INDIGENA_LINGUA,float64,214192,3712,1.73
227,CO_LINGUA_INDIGENA_1,float64,214192,2874,1.34
228,CO_LINGUA_INDIGENA_2,float64,214192,365,0.17
229,CO_LINGUA_INDIGENA_3,float64,214192,127,0.06
230,IN_EXAME_SELECAO,float64,214192,180540,84.29
231,IN_RESERVA_PPI,float64,214192,7584,3.54
232,IN_RESERVA_RENDA,float64,214192,7584,3.54
233,IN_RESERVA_PUBLICA,float64,214192,7584,3.54
234,IN_RESERVA_PCD,float64,214192,7584,3.54
235,IN_RESERVA_OUTROS,float64,214192,7584,3.54
236,IN_RESERVA_NENHUMA,float64,214192,7584,3.54
237,IN_REDES_SOCIAIS,float64,214192,180540,84.29
238,IN_ESPACO_ATIVIDADE,float64,214192,180540,84.29
239,IN_ESPACO_EQUIPAMENTO,float64,214192,180540,84.29
240,IN_ORGAO_ASS_PAIS,float64,214192,180540,84.29
241,IN_ORGAO_ASS_PAIS_MESTRES,float64,214192,180540,84.29
242,IN_ORGAO_CONSELHO_ESCOLAR,float64,214192,180540,84.29
243,IN_ORGAO_GREMIO_ESTUDANTIL,float64,214192,180540,84.29
244,IN_ORGAO_OUTROS,float64,214192,180540,84.29
245,IN_ORGAO_NENHUM,float64,214192,180540,84.29
246,TP_PROPOSTA_PEDAGOGICA,float64,214192,180540,84.29
247,IN_EDUC_AMBIENTAL,float64,214192,180540,84.29
248,IN_EDUC_AMB_CONTEUDO,float64,214192,180540,84.29
249,IN_EDUC_AMB_CURRICULAR,float64,214192,180540,84.29
250,IN_EDUC_AMB_EIXO,float64,214192,180540,84.29
251,IN_EDUC_AMB_EVENTOS,float64,214192,180540,84.29
252,IN_EDUC_AMB_PROJETOS,float64,214192,180540,84.29
253,IN_EDUC_AMB_NENHUMA,float64,214192,180540,84.29
254,TP_AEE,float64,214192,180540,84.29
255,TP_ATIVIDADE_COMPLEMENTAR,float64,214192,180540,84.29
256,TP_ITINERARIO_FORMATIVO,float64,214192,180540,84.29
257,IN_ITINERARIO_APROFUNDAMENTO,float64,214192,180540,84.29
258,IN_ITINERARIO_TECN_PROF,float64,214192,180540,84.29
259,IN_ESCOLARIZACAO,float64,214192,180540,84.29
260,IN_MEDIACAO_PRESENCIAL,float64,214192,180540,84.29
261,IN_MEDIACAO_SEMIPRESENCIAL,float64,214192,180540,84.29
262,IN_MEDIACAO_EAD,float64,214192,180540,84.29
263,IN_ESPECIAL_EXCLUSIVA,float64,214192,180540,84.29
264,IN_REGULAR,float64,214192,180540,84.29
265,IN_EJA,float64,214192,180540,84.29
266,IN_PROFISSIONALIZANTE,float64,214192,178775,83.46
267,IN_COMUM_CRECHE,float64,214192,180540,84.29
268,IN_COMUM_PRE,float64,214192,180540,84.29
269,IN_COMUM_FUND_AI,float64,214192,180540,84.29
270,IN_COMUM_FUND_AF,float64,214192,180540,84.29
271,IN_COMUM_MEDIO_MEDIO,float64,214192,180540,84.29
272,IN_COMUM_MEDIO_INTEGRADO,float64,214192,180540,84.29
273,IN_COMUM_MEDIO_FIC,float64,214192,180540,84.29
274,IN_COMUM_MEDIO_NORMAL,float64,214192,180540,84.29
275,IN_ESP_EXCLUSIVA_CRECHE,float64,214192,180540,84.29
276,IN_ESP_EXCLUSIVA_PRE,float64,214192,180540,84.29
