tabela,variavel,descricao,primeiro_ano,ultimo_ano,status_coleta,anos_nao_coletados,comparabilidade_preliminar,categoria,notas_importantes
Escola,CO_REDE,Rede de Ensino,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"1 - Pública
2 - Privada","Variável incluída nos Microdados com o objetivo de facilitar a identificação e a extração de informações por Rede de Ensino (Pública ou Privada). Trata-se de variável derivada da variável TP_DEPENDENCIA, sendo que a rede pública compreende as esferas Federal, Estadual e Municipal."
Escola,TP_DEPENDENCIA,Dependência Administrativa,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"1 - Federal
2 - Estadual
3 - Municipal
4 - Privada",
Escola,TP_CATEGORIA_ESCOLA_PRIVADA,Categoria da escola privada,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"1 - Particular
2 - Comunitária
3 - Confessional
4 - Filantrópica
   - Não aplicável para escolas públicas",
Escola,TP_LOCALIZACAO,Localização,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"1 - Urbana
2 - Rural",
Escola,TP_LOCALIZACAO_DIFERENCIADA,Localização diferenciada da escola,2007.0,2025.0,Coleta contínua 2007-2025,,Potencialmente comparável em toda a série,"0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Comunidade quilombola
8 - Área onde se localizam povos e comunidades tradicionais","De 2007 a 2011:  
0 - Não se aplica
1 - Área de assentamento
2 - Terra indígena
3 - Área remanescente de quilombos
De 2012 a 2018:  
0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Área remanescente de quilombos
4 - Unidade de uso sustentável
5 - Unidade de uso sustentável em terra indígena
6 - Unidade de uso sustentável em área remanescente de quilombos
De 2019 a 2022: 
0 - A escola não está em área de localização diferenciada
1 - Área de assentamento
2 - Terra indígena
3 - Área onde se localiza comunidade remanescente de quilombos
Em 2023 foi adicionada a categoria 8: 
8 - Área onde se localizam povos e comunidades tradicionais"
Escola,DS_ENDERECO,Endereço,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,"Os campos de endereço da escola (DS_ENDERECO, NU_ENDERECO, DS_COMPLEMENTO, NO_BAIRRO, CO_CEP, LATITUDE e LONGITUDE) foram retirados dos Microdados do Censo Escolar da Educação Básica 2025. Essas informações permanecem disponíveis para consulta pública no Catálogo de Escolas do Inep: https://www.gov.br/inep/pt-br/acesso-a-informacao/dados-abertos/inep-data/catalogo-de-escolas.
Os campos NU_DDD e NU_TELEFONE também foram suprimidos dos Microdados, uma vez que não passam por procedimentos específicos de crítica de consistência e foram identificados registros contendo telefones pessoais. A retirada desses campos visa resguardar a privacidade dos titulares dos dados e atender às disposições da Lei Geral de Proteção de Dados Pessoais (Lei nº 13.709/2018) e da Lei de Acesso à Informação (Lei nº 12.527/2011), que preveem a proteção de informações pessoais contra divulgação indevida.
"
Escola,NU_ENDERECO,Número,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,DS_COMPLEMENTO,Complemento,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,NO_BAIRRO,Bairro,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
Escola,CO_CEP,CEP,,,Sem coleta no período,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",Comparável apenas no período de coleta,,
